time (ms)	x_pos(mm)	signal	error	trash	trash2
990 	-9.02566210E-1	7.99038080E-2	2.74069598E-2	NaN	0.00000000E+0
990 	3.01320045E-1	5.93342644E+0	9.40254655E-1	NaN	0.00000000E+0
990 	-1.05183192E+0	1.98008223E-1	7.24510602E-2	NaN	0.00000000E+0
990 	-2.97135043E-1	6.54768757E+0	8.10744813E-1	NaN	0.00000000E+0
990 	1.53450006E-1	1.06768912E+1	7.54320232E-1	NaN	0.00000000E+0
990 	4.51980152E-1	4.37683085E+0	8.73623963E-1	NaN	0.00000000E+0
990 	-6.01245358E-1	7.86355550E-1	2.34307492E-1	NaN	0.00000000E+0
990 	7.53300704E-1	9.38665733E-1	3.96704956E-1	NaN	0.00000000E+0
990 	-2.79000000E-3	1.02385041E+1	5.11193076E-1	NaN	0.00000000E+0
990 	1.05183192E+0	1.98566722E-1	8.07781394E-2	NaN	0.00000000E+0
990 	-7.51905700E-1	6.45377152E-1	1.54865659E-1	NaN	0.00000000E+0
990 	6.02640360E-1	1.49733834E+0	1.78348984E-1	NaN	0.00000000E+0
990 	-4.51980152E-1	1.53758667E+0	3.04023575E-1	NaN	0.00000000E+0
990 	-1.47870005E-1	7.77495186E+0	1.52106485E+0	NaN	0.00000000E+0
990 	9.01171205E-1	4.37092438E-1	7.37508293E-2	NaN	0.00000000E+0
990 	1.20109785E+0	1.45145687E-1	8.12420613E-2	NaN	0.00000000E+0
990 	-1.20109785E+0	9.59487389E-2	5.88785153E-2	NaN	0.00000000E+0
